epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8351,3.48715,13.9723,0.0531,0.00088,0.26316,0.00032,5e-05,3.62932,20.9922,0.05176,0.00044,0.00044,0.00044
2,24.2542,3.34511,11.3262,0.04707,0.00088,0.26316,0.00025,3e-05,3.63723,20.2173,0.05172,0.00089109,0.00089109,0.00089109
3,30.4391,3.18475,10.1663,0.04607,0.00035,0.10526,4e-05,1e-05,3.6202,17.8106,0.05078,0.00133307,0.00133307,0.00133307
4,36.5084,3.02625,8.40713,0.04308,0.00088,0.26316,0.00025,4e-05,3.59119,14.1022,0.04804,0.00176595,0.00176595,0.00176595
5,42.4914,2.88291,6.73624,0.04176,0.00175,0.52632,0.02308,0.00696,2.90406,8.92491,0.05222,0.0019208,0.0019208,0.0019208
6,48.9017,2.7052,5.32966,0.0394,0.13485,0.05263,0.03141,0.00607,2.39615,6.98121,0.0354,0.001901,0.001901,0.001901
7,55.2617,2.50608,4.54427,0.03659,0.00223,0.63158,0.01394,0.00292,2.39662,6.30104,0.04214,0.0018812,0.0018812,0.0018812
8,61.3496,2.57238,4.11251,0.03748,0.06775,0.21053,0.04856,0.01219,2.62532,6.43308,0.04816,0.0018614,0.0018614,0.0018614
9,67.5461,2.45869,3.63438,0.03713,0.19643,0.05263,0.02441,0.00952,2.34807,5.86894,0.04097,0.0018416,0.0018416,0.0018416
10,73.9505,2.50038,3.34895,0.0375,0.34971,0.52632,0.28063,0.10016,2.10356,4.06898,0.03527,0.0018218,0.0018218,0.0018218
11,80.4223,2.49021,3.15677,0.03597,0.39269,0.47368,0.34013,0.11317,2.16767,3.66836,0.03727,0.001802,0.001802,0.001802
12,86.8111,2.42364,2.77199,0.03266,0.12805,0.47368,0.18023,0.044,2.29918,4.85627,0.0417,0.0017822,0.0017822,0.0017822
13,93.0958,2.46768,2.72795,0.03615,0.55909,0.42105,0.47629,0.16717,2.20075,2.84148,0.0361,0.0017624,0.0017624,0.0017624
