epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.5042,3.03146,10.0335,0.02794,0.06673,0.07373,0.03486,0.00675,2.54806,11.537,0.02281,0.000664011,0.000664011,0.000664011
2,124.064,2.57159,3.85475,0.02303,0.54628,0.29954,0.33896,0.12575,2.24501,3.25789,0.01932,0.0013175,0.0013175,0.0013175
3,177.305,2.37528,2.7994,0.02099,0.61001,0.42857,0.51908,0.21268,2.17697,2.32935,0.01871,0.0019578,0.0019578,0.0019578
4,230.238,2.2423,2.45649,0.01902,0.64337,0.47465,0.5437,0.22048,2.23746,2.13466,0.01944,0.0019406,0.0019406,0.0019406
5,282.462,2.10802,2.12781,0.01842,0.65247,0.59447,0.61994,0.26027,2.02943,1.80889,0.01505,0.0019208,0.0019208,0.0019208
6,335.215,2.03424,1.9197,0.01783,0.66191,0.63594,0.69062,0.34037,1.8677,1.56854,0.01486,0.001901,0.001901,0.001901
7,387.885,1.98038,1.69858,0.01659,0.78562,0.64174,0.73136,0.42104,1.64433,1.3469,0.01316,0.0018812,0.0018812,0.0018812
8,441.408,1.90489,1.5734,0.01599,0.77391,0.68664,0.78325,0.46167,1.54253,1.22376,0.01064,0.0018614,0.0018614,0.0018614
9,494.485,1.86607,1.54183,0.01581,0.83661,0.6682,0.78553,0.4304,1.64304,1.28748,0.01232,0.0018416,0.0018416,0.0018416
10,547.347,1.80124,1.41547,0.01475,0.8215,0.71889,0.80579,0.44014,1.67652,1.14535,0.01129,0.0018218,0.0018218,0.0018218
11,599.771,1.76233,1.36773,0.01417,0.77377,0.74654,0.81696,0.47303,1.538,1.20492,0.01087,0.001802,0.001802,0.001802
12,652.558,1.72417,1.29231,0.01367,0.84109,0.68298,0.7906,0.40368,1.78476,1.13267,0.01425,0.0017822,0.0017822,0.0017822
13,705.209,1.71173,1.28109,0.01412,0.8976,0.72713,0.8533,0.5051,1.49593,0.99095,0.01027,0.0017624,0.0017624,0.0017624
14,757.614,1.70182,1.22274,0.01373,0.84353,0.75576,0.83067,0.48729,1.54998,1.06841,0.01098,0.0017426,0.0017426,0.0017426
15,810.446,1.64697,1.16823,0.01291,0.89155,0.76959,0.85654,0.57316,1.2989,0.89595,0.00931,0.0017228,0.0017228,0.0017228
16,863.345,1.63743,1.14697,0.01307,0.84339,0.80645,0.86608,0.5098,1.52676,0.98517,0.00989,0.001703,0.001703,0.001703
17,916.408,1.62167,1.11384,0.01296,0.88404,0.76498,0.86353,0.558,1.38802,0.8864,0.00938,0.0016832,0.0016832,0.0016832
18,968.982,1.60648,1.05562,0.01254,0.91357,0.77932,0.87863,0.51117,1.52859,0.97826,0.01125,0.0016634,0.0016634,0.0016634
19,1022.43,1.56892,1.05679,0.01249,0.86894,0.82028,0.89156,0.57874,1.37528,0.80229,0.00895,0.0016436,0.0016436,0.0016436
20,1075.17,1.54414,1.02314,0.01192,0.86306,0.84228,0.89127,0.56782,1.37983,0.90656,0.00984,0.0016238,0.0016238,0.0016238
21,1128.01,1.54688,0.99814,0.01235,0.88835,0.80665,0.8888,0.57436,1.33357,0.75452,0.00922,0.001604,0.001604,0.001604
22,1180.9,1.50135,0.96368,0.01176,0.93257,0.82855,0.90493,0.57777,1.41783,0.75521,0.00926,0.0015842,0.0015842,0.0015842
23,1234.54,1.50152,0.94279,0.01122,0.91692,0.8341,0.90324,0.59498,1.30686,0.76179,0.00846,0.0015644,0.0015644,0.0015644
24,1287.82,1.48403,0.92433,0.01126,0.90776,0.77094,0.88606,0.60258,1.28504,0.83814,0.00851,0.0015446,0.0015446,0.0015446
25,1340.92,1.47771,0.94016,0.01176,0.89538,0.80645,0.88914,0.59311,1.30263,0.808,0.0089,0.0015248,0.0015248,0.0015248
26,1392.82,1.46398,0.88895,0.01118,0.92639,0.81191,0.90363,0.62919,1.19207,0.75477,0.00737,0.001505,0.001505,0.001505
27,1443.33,1.45885,0.90393,0.01073,0.92171,0.79263,0.89977,0.59229,1.27925,0.83819,0.00876,0.0014852,0.0014852,0.0014852
28,1493.66,1.44039,0.86191,0.0111,0.91696,0.82028,0.90266,0.59761,1.28441,0.74628,0.00978,0.0014654,0.0014654,0.0014654
29,1544.12,1.42115,0.82634,0.0108,0.92214,0.81873,0.90002,0.60277,1.25179,0.86,0.00729,0.0014456,0.0014456,0.0014456
30,1594.95,1.40947,0.83017,0.01085,0.95751,0.83069,0.91092,0.57249,1.39382,0.78584,0.00885,0.0014258,0.0014258,0.0014258
31,1645.22,1.40717,0.83824,0.0106,0.90118,0.84793,0.9015,0.59867,1.31175,0.72322,0.00927,0.001406,0.001406,0.001406
32,1696.42,1.38995,0.80338,0.01059,0.94405,0.8341,0.91745,0.64004,1.16613,0.68276,0.00787,0.0013862,0.0013862,0.0013862
